cv,ct,ttHww,ttHzz,ttHtt,tHqww,tHqzz,tHqtt,tHWww,tHWzz,tHWtt
0.5,-6.0,1.4315,1.4315,206.1315,4.4262,4.4262,637.3787,4.6952,4.6952,676.1090
0.5,-4.0,1.2566,1.2566,80.4220,4.1974,4.1974,268.6322,4.3680,4.3680,279.5526
0.5,-3.0,1.0747,1.0747,38.6909,3.8700,3.8700,139.3216,3.9553,3.9553,142.3894
0.5,-2.5,0.9389,0.9389,23.4715,3.5849,3.5849,89.6217,3.6139,3.6139,90.3476
0.5,-2.0,0.7622,0.7622,12.1947,3.1701,3.1701,50.7224,3.1344,3.1344,50.1506
0.5,-1.5,0.5425,0.5425,4.8824,2.5863,2.5863,23.2770,2.4829,2.4829,22.3462
0.5,-1.333,0.4617,0.4617,3.2815,2.3505,2.3505,16.7063,2.2262,2.2262,15.8226
0.5,-1.25,0.4208,0.4208,2.6302,2.2262,2.2262,13.9136,2.0922,2.0922,13.0764
0.5,-1.0,0.2980,0.2980,1.1922,1.8279,1.8279,7.3117,1.6697,1.6697,6.6788
0.5,-0.833,0.2196,0.2196,0.6096,1.5485,1.5485,4.2979,1.3795,1.3795,3.8288
0.5,-0.75,0.1830,0.1830,0.4116,1.4082,1.4082,3.1685,1.2360,1.2360,2.7810
0.5,-0.667,0.1484,0.1484,0.2640,1.2686,1.2686,2.2575,1.0947,1.0947,1.9481
0.5,-0.5,0.0871,0.0871,0.0871,0.9946,0.9946,0.9946,0.8228,0.8228,0.8228
0.5,-0.333,0.0399,0.0399,0.0177,0.7394,0.7394,0.3280,0.5775,0.5775,0.2562
0.5,-0.25,0.0228,0.0228,0.0057,0.6232,0.6232,0.1558,0.4693,0.4693,0.1173
0.5,-0.167,0.0103,0.0103,0.0011,0.5159,0.5159,0.0576,0.3721,0.3721,0.0415
0.5,0.0,0.0000,0.0000,0.0000,0.3319,0.3319,0.0000,0.2145,0.2145,0.0000
0.5,0.167,0.0103,0.0103,0.0012,0.1970,0.1970,0.0220,0.1133,0.1133,0.0126
0.5,0.25,0.0230,0.0230,0.0057,0.1497,0.1497,0.0374,0.0852,0.0852,0.0213
0.5,0.333,0.0403,0.0403,0.0179,0.1160,0.1160,0.0514,0.0719,0.0719,0.0319
0.5,0.5,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884,0.0884
0.5,0.667,0.1513,0.1513,0.2693,0.1116,0.1116,0.1985,0.1581,0.1581,0.2813
0.5,0.75,0.1869,0.1869,0.4206,0.1401,0.1401,0.3151,0.2100,0.2100,0.4725
0.5,0.833,0.2248,0.2248,0.6240,0.1786,0.1786,0.4956,0.2719,0.2719,0.7547
0.5,1.0,0.3060,0.3060,1.2241,0.2821,0.2821,1.1286,0.4217,0.4217,1.6866
0.5,1.25,0.4336,0.4336,2.7100,0.4861,0.4861,3.0381,0.6904,0.6904,4.3148
0.5,1.333,0.4761,0.4761,3.3839,0.5627,0.5627,3.9991,0.7869,0.7869,5.5928
0.5,1.5,0.5602,0.5602,5.0417,0.7246,0.7246,6.5217,0.9864,0.9864,8.8773
0.5,2.0,0.7884,0.7884,12.6148,1.2251,1.2251,19.6018,1.5771,1.5771,25.2343
0.5,2.5,0.9707,0.9707,24.2679,1.6831,1.6831,42.0786,2.0963,2.0963,52.4079
0.5,3.0,1.1095,1.1095,39.9413,2.0679,2.0679,74.4461,2.5209,2.5209,90.7507
0.5,4.0,1.2921,1.2921,82.6920,2.6326,2.6326,168.4876,3.1268,3.1268,200.1159
0.5,6.0,1.4619,1.4619,210.5204,3.2508,3.2508,468.1126,3.7659,3.7659,542.2903
1.0,-6.0,5.5588,5.5588,200.1158,20.0165,20.0165,720.5946,20.4573,20.4573,736.4620
1.0,-4.0,4.7471,4.7471,75.9529,19.7448,19.7448,315.9165,19.5222,19.5222,312.3552
1.0,-3.0,3.9474,3.9474,35.5268,18.8195,18.8195,169.3759,18.0670,18.0670,162.6029
1.0,-2.5,3.3779,3.3779,21.1116,17.8685,17.8685,111.6781,16.7933,16.7933,104.9581
1.0,-2.0,2.6709,2.6709,10.6834,16.3803,16.3803,65.5214,14.9624,14.9624,59.8496
1.0,-1.5,1.8411,1.8411,4.1426,14.1717,14.1717,31.8862,12.4383,12.4383,27.9861
1.0,-1.333,1.5489,1.5489,2.7522,13.2522,13.2522,23.5477,11.4343,11.4343,20.3175
1.0,-1.25,1.4036,1.4036,2.1932,12.7615,12.7615,19.9399,10.9079,10.9079,17.0437
1.0,-1.0,0.9770,0.9770,0.9770,11.1592,11.1592,11.1592,9.2311,9.2311,9.2311
1.0,-0.833,0.7121,0.7121,0.4941,10.0018,10.0018,6.9401,8.0579,8.0579,5.5913
1.0,-0.75,0.5901,0.5901,0.3319,9.4078,9.4078,5.2919,7.4681,7.4681,4.2008
1.0,-0.667,0.4763,0.4763,0.2119,8.8056,8.8056,3.9175,6.8788,6.8788,3.0603
1.0,-0.5,0.2771,0.2771,0.0693,7.5844,7.5844,1.8961,5.7117,5.7117,1.4279
1.0,-0.333,0.1262,0.1262,0.0140,6.3792,6.3792,0.7074,4.6000,4.6000,0.5101
1.0,-0.25,0.0718,0.0718,0.0045,5.7976,5.7976,0.3624,4.0798,4.0798,0.2550
1.0,-0.167,0.0323,0.0323,0.0009,5.2339,5.2339,0.1460,3.5871,3.5871,0.1000
1.0,0.0,0.0000,0.0000,0.0000,4.1718,4.1718,0.0000,2.6961,2.6961,0.0000
1.0,0.167,0.0324,0.0324,0.0009,3.2340,3.2340,0.0902,1.9629,1.9629,0.0547
1.0,0.25,0.0723,0.0723,0.0045,2.8227,2.8227,0.1764,1.6640,1.6640,0.1040
1.0,0.333,0.1273,0.1273,0.0141,2.4513,2.4513,0.2718,1.4108,1.4108,0.1564
1.0,0.5,0.2808,0.2808,0.0702,1.8317,1.8317,0.4579,1.0425,1.0425,0.2606
1.0,0.667,0.4844,0.4844,0.2155,1.3869,1.3869,0.6170,0.8605,0.8605,0.3828
1.0,0.75,0.6013,0.6013,0.3382,1.2301,1.2301,0.6919,0.8360,0.8360,0.4702
1.0,0.833,0.7267,0.7267,0.5043,1.1146,1.1146,0.7734,0.8526,0.8526,0.5916
1.0,1.0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
1.0,1.25,1.4418,1.4418,2.2528,1.0873,1.0873,1.6988,1.4597,1.4597,2.2807
1.0,1.333,1.5925,1.5925,2.8296,1.1743,1.1743,2.0866,1.6630,1.6630,2.9549
1.0,1.5,1.8959,1.8959,4.2658,1.4205,1.4205,3.1961,2.1300,2.1300,4.7925
1.0,2.0,2.7576,2.7576,11.0303,2.5425,2.5425,10.1699,3.7996,3.7996,15.1983
1.0,2.5,3.4889,3.4889,21.8054,3.9113,3.9113,24.4456,5.5549,5.5549,34.7183
1.0,3.0,4.0736,4.0736,36.6627,5.2695,5.2695,47.4252,7.1727,7.1727,64.5542
1.0,4.0,4.8835,4.8835,78.1363,7.5884,7.5884,121.4140,9.7689,9.7689,156.3019
1.0,6.0,5.6827,5.6827,204.5786,10.5920,10.5920,381.3117,12.9118,12.9118,464.8241
1.5,-6.0,11.9331,11.9331,190.9294,49.6342,49.6342,794.1469,49.0747,49.0747,785.1947
1.5,-4.0,9.7815,9.7815,69.5575,49.7907,49.7907,354.0671,47.1583,47.1583,335.3481
1.5,-3.0,7.8215,7.8215,31.2860,47.9692,47.9692,191.8770,43.8168,43.8168,175.2673
1.5,-2.5,6.5137,6.5137,18.0937,45.9066,45.9066,127.5184,40.8989,40.8989,113.6079
1.5,-2.0,4.9838,4.9838,8.8601,42.6309,42.6309,75.7883,36.7843,36.7843,65.3943
1.5,-1.5,3.3092,3.3092,3.3092,37.7973,37.7973,37.7973,31.2665,31.2665,31.2665
1.5,-1.333,2.7481,2.7481,2.1703,35.8009,35.8009,28.2730,29.1115,29.1115,22.9902
1.5,-1.25,2.4745,2.4745,1.7184,34.7384,34.7384,24.1239,27.9885,27.9885,19.4364
1.5,-1.0,1.6906,1.6906,0.7514,31.2760,31.2760,13.9004,24.4307,24.4307,10.8581
1.5,-0.833,1.2182,1.2182,0.3757,28.7720,28.7720,8.8731,21.9475,21.9475,6.7685
1.5,-0.75,1.0042,1.0042,0.2511,27.4823,27.4823,6.8706,20.6964,20.6964,5.1741
1.5,-0.667,0.8065,0.8065,0.1595,26.1693,26.1693,5.1744,19.4419,19.4419,3.8442
1.5,-0.5,0.4653,0.4653,0.0517,23.4808,23.4808,2.6090,16.9333,16.9333,1.8815
1.5,-0.333,0.2105,0.2105,0.0104,20.7744,20.7744,1.0238,14.4924,14.4924,0.7142
1.5,-0.25,0.1195,0.1195,0.0033,19.4407,19.4407,0.5400,13.3224,13.3224,0.3701
1.5,-0.167,0.0536,0.0536,0.0007,18.1245,18.1245,0.2247,12.1904,12.1904,0.1511
1.5,0.0,0.0000,0.0000,0.0000,15.5594,15.5594,0.0000,10.0554,10.0554,0.0000
1.5,0.167,0.0538,0.0538,0.0007,13.1537,13.1537,0.1630,8.1519,8.1519,0.1010
1.5,0.25,0.1201,0.1201,0.0033,12.0337,12.0337,0.3343,7.3049,7.3049,0.2029
1.5,0.333,0.2120,0.2120,0.0104,10.9716,10.9716,0.5407,6.5291,6.5291,0.3218
1.5,0.5,0.4702,0.4702,0.0522,9.0282,9.0282,1.0031,5.1954,5.1954,0.5773
1.5,0.667,0.8176,0.8176,0.1617,7.3664,7.3664,1.4565,4.1751,4.1751,0.8255
1.5,0.75,1.0195,1.0195,0.2549,6.6504,6.6504,1.6626,3.7852,3.7852,0.9463
1.5,0.833,1.2385,1.2385,0.3820,6.0086,6.0086,1.8530,3.4718,3.4718,1.0707
1.5,1.0,1.7233,1.7233,0.7659,4.9407,4.9407,2.1958,3.0645,3.0645,1.3620
1.5,1.25,2.5307,2.5307,1.7574,3.8774,3.8774,2.6926,2.9675,2.9675,2.0607
1.5,1.333,2.8132,2.8132,2.2216,3.6566,3.6566,2.8878,3.0564,3.0564,2.4137
1.5,1.5,3.3932,3.3932,3.3932,3.3932,3.3932,3.3932,3.3932,3.3932,3.3932
1.5,2.0,5.1272,5.1272,9.1150,3.7806,3.7806,6.7212,5.3549,5.3549,9.5199
1.5,2.5,6.7099,6.7099,18.6386,5.3309,5.3309,14.8080,8.1177,8.1177,22.5491
1.5,3.0,8.0572,8.0572,32.2288,7.4287,7.4287,29.7150,11.1018,11.1018,44.4074
1.5,4.0,10.0575,10.0575,71.5199,11.8883,11.8883,84.5387,16.6250,16.6250,118.2221
1.5,6.0,12.2055,12.2055,195.2874,18.9658,18.9658,303.4523,24.4155,24.4155,390.6482
